iteracao,tempo
0,9.5367431640625e-07
5,3.814697265625e-06
10,3.337860107421875e-06
15,5.4836273193359375e-06
20,7.867813110351562e-06
25,1.1205673217773438e-05
30,1.4781951904296875e-05
35,1.9073486328125e-05
40,2.384185791015625e-05
45,2.8133392333984375e-05
50,3.409385681152344e-05
55,4.076957702636719e-05
60,4.8160552978515625e-05
65,5.5789947509765625e-05
70,6.29425048828125e-05
75,7.104873657226562e-05
80,8.440017700195312e-05
85,8.702278137207031e-05
90,9.846687316894531e-05
95,0.00011110305786132812
100,0.00012254714965820312
105,0.00014090538024902344
110,0.00015473365783691406
115,0.0001614093780517578
120,0.00018143653869628906
125,0.000186920166015625
130,0.00020170211791992188
135,0.00021338462829589844
140,0.0002334117889404297
145,0.00024366378784179688
150,0.00027060508728027344
155,0.0002727508544921875
160,0.0002956390380859375
165,0.0003120899200439453
170,0.0003299713134765625
175,0.00034689903259277344
180,0.00036525726318359375
185,0.0003955364227294922
190,0.0004150867462158203
195,0.0004284381866455078
200,0.0004608631134033203
205,0.0005269050598144531
210,0.0005266666412353516
215,0.0005638599395751953
220,0.0006203651428222656
225,0.0006151199340820312
230,0.0006554126739501953
235,0.0006704330444335938
240,0.0006608963012695312
245,0.0006690025329589844
250,0.0007259845733642578
255,0.0007250308990478516
260,0.0007650852203369141
265,0.0007917881011962891
270,0.0008256435394287109
275,0.0008604526519775391
280,0.0009071826934814453
285,0.0010485649108886719
290,0.0011296272277832031
295,0.0010886192321777344
300,0.0011129379272460938
305,0.0010974407196044922
310,0.0011515617370605469
315,0.001176595687866211
320,0.0012030601501464844
325,0.0012950897216796875
330,0.0013995170593261719
335,0.0013086795806884766
340,0.0014488697052001953
345,0.0014574527740478516
350,0.0017485618591308594
355,0.0017719268798828125
360,0.0017042160034179688
365,0.0017018318176269531
370,0.0017478466033935547
375,0.0018219947814941406
380,0.001897573471069336
385,0.0019159317016601562
390,0.0021104812622070312
395,0.002101898193359375
400,0.0020439624786376953
405,0.0020198822021484375
410,0.0021462440490722656
415,0.002303600311279297
420,0.0022139549255371094
425,0.0023758411407470703
430,0.002420663833618164
435,0.0023696422576904297
440,0.0023577213287353516
445,0.002488851547241211
450,0.002520322799682617
455,0.0026047229766845703
460,0.00283050537109375
465,0.002826213836669922
470,0.002768278121948242
475,0.002847909927368164
480,0.002883434295654297
485,0.0031270980834960938
490,0.0031952857971191406
495,0.003655672073364258
500,0.0031740665435791016
505,0.003247976303100586
510,0.0034894943237304688
515,0.003419160842895508
520,0.0035033226013183594
525,0.003509044647216797
530,0.0036554336547851562
535,0.0039424896240234375
540,0.0037889480590820312
545,0.0037927627563476562
550,0.003882884979248047
555,0.004063606262207031
560,0.0041501522064208984
565,0.004479408264160156
570,0.0042264461517333984
575,0.0042574405670166016
580,0.004502296447753906
585,0.004468202590942383
590,0.004872798919677734
595,0.0045816898345947266
600,0.00460362434387207
605,0.00472569465637207
610,0.004969358444213867
615,0.004864215850830078
620,0.0049169063568115234
625,0.00525212287902832
630,0.005182981491088867
635,0.005147218704223633
640,0.00552678108215332
645,0.005356788635253906
650,0.005468845367431641
655,0.005698204040527344
660,0.0057315826416015625
665,0.006290435791015625
670,0.005880117416381836
675,0.005921363830566406
680,0.006024599075317383
685,0.005974292755126953
690,0.006520509719848633
695,0.006432056427001953
700,0.006213188171386719
705,0.006582021713256836
710,0.006579399108886719
715,0.006791830062866211
720,0.0068149566650390625
725,0.007619142532348633
730,0.007163047790527344
735,0.007045745849609375
740,0.007201671600341797
745,0.0070323944091796875
750,0.007452964782714844
755,0.007375001907348633
760,0.007578611373901367
765,0.007712602615356445
770,0.008257865905761719
775,0.007881402969360352
780,0.008120298385620117
785,0.008117914199829102
790,0.00825190544128418
795,0.00821065902709961
800,0.008427143096923828
805,0.008385896682739258
810,0.008819103240966797
815,0.00880575180053711
820,0.009258508682250977
825,0.009309053421020508
830,0.00913858413696289
835,0.009240150451660156
840,0.009438037872314453
845,0.009595394134521484
850,0.009512901306152344
855,0.009795427322387695
860,0.00981450080871582
865,0.010051965713500977
870,0.010268449783325195
875,0.010027170181274414
880,0.010357141494750977
885,0.010883569717407227
890,0.010460615158081055
895,0.010730743408203125
900,0.01088261604309082
905,0.010740518569946289
910,0.01111459732055664
915,0.011211633682250977
920,0.011156320571899414
925,0.011577606201171875
930,0.011574268341064453
935,0.011509895324707031
940,0.011795759201049805
945,0.011899948120117188
950,0.01226806640625
955,0.012029886245727539
960,0.012323141098022461
965,0.012610673904418945
970,0.012741565704345703
975,0.012477874755859375
980,0.012763023376464844
985,0.013734579086303711
990,0.012833595275878906
995,0.012713909149169922
1000,0.013005733489990234
1005,0.012996673583984375
1010,0.01343536376953125
1015,0.013180971145629883
1020,0.01348114013671875
1025,0.013367414474487305
1030,0.01352238655090332
1035,0.013702154159545898
1040,0.013862848281860352
1045,0.014931440353393555
1050,0.014679193496704102
1055,0.01425027847290039
1060,0.01474905014038086
1065,0.014685869216918945
1070,0.015636682510375977
1075,0.015246152877807617
1080,0.016139745712280273
1085,0.014810800552368164
1090,0.016270160675048828
1095,0.015418052673339844
1100,0.01570606231689453
1105,0.015903234481811523
1110,0.015967607498168945
1115,0.016274452209472656
1120,0.016537904739379883
1125,0.0162353515625
1130,0.016304969787597656
1135,0.01640176773071289
1140,0.018931150436401367
1145,0.01666116714477539
1150,0.017071962356567383
1155,0.017246484756469727
1160,0.01767277717590332
1165,0.017642974853515625
1170,0.01755547523498535
1175,0.017800331115722656
1180,0.017801523208618164
1185,0.01777505874633789
1190,0.018810033798217773
1195,0.01831364631652832
1200,0.01846003532409668
1205,0.019132375717163086
1210,0.0188140869140625
1215,0.018660545349121094
1220,0.019250869750976562
1225,0.01981520652770996
1230,0.019540786743164062
1235,0.019686460494995117
1240,0.019663333892822266
1245,0.020043134689331055
1250,0.019725799560546875
1255,0.02065896987915039
1260,0.02147960662841797
1265,0.020687341690063477
