CARIMBO DE DATA/HORA,LINK DA CASA,VALOR DA CASA,BAIRRO,VALOR DO IMÓVEL ,NÚMERO DE QUARTOS,NÚMERO DE BANHEIROS,TAMANHO DO TERRENO,TEM EDÍCULA?,ZONA,EDICULA,Preço da area,,,,BAIRROS
6/25/2023 11:26:55,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/16705,400000,Boa Vista,Mais que 400 mil,4,4,242,Sim,CENTRO,1,"R$ 1,652.89",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:27:24,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/15837,270000,Boa Vista,250-300 mil,2,2,250,Não,CENTRO,0,"R$ 1,080.00",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:28:03,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/14360,650000,Boa Vista,Mais que 400 mil,2,2,420,Não,CENTRO,0,"R$ 1,547.62",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:29:07,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/12822,185000,Boa Vista,Até 250 mil,3,1,242,Não,CENTRO,0,R$ 764.46,,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:29:35,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/12588,600000,Boa Vista,Mais que 400 mil,2,3,324,Sim,CENTRO,1,"R$ 1,851.85",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:30:19,https://wwwredentoracombr/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/12309,1280000,Boa Vista,Mais que 400 mil,3,5,556,Não,CENTRO,0,"R$ 2,302.16",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:31:07,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/8594,220000,Boa Vista,Até 250 mil,2,1,206,Não,CENTRO,0,"R$ 1,067.96",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:31:44,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/6886,600000,Boa Vista,Mais que 400 mil,3,3,484,Não,CENTRO,0,"R$ 1,239.67",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:32:16,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/6038,290000,Boa Vista,250-300 mil,3,2,260,Não,CENTRO,0,"R$ 1,115.38",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:32:47,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/3506,1000000,Boa Vista,Mais que 400 mil,3,3,484,Não,CENTRO,0,"R$ 2,066.12",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:33:42,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/2970,623000,Boa Vista,Mais que 400 mil,3,5,242,Não,CENTRO,0,"R$ 2,574.38",,,,"Boa Vista, São José do Rio Preto"
6/25/2023 11:34:11,https://wwwredentoracombr/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/2372,850000,Boa Vista,Mais que 400 mil,4,1,500,Não,CENTRO,0,"R$ 1,700.00",,,,"Boa Vista, São José do Rio Preto"
